pattern_number,title,pubdate,ipc,appl_no,applicant,inventor
101238342,METHOD FOR OPERATING A GAS TURBINE AS WELL AS A GAS TURBINE FOR IMPLEMENTING THE METHOD,CN - 06.08.2008,F25J 3/04,,,
WO/2008/056790,GAS TURBINE POWER GENERATION SYSTEM AND METHOD OF DETECTING ITS CALORIE ABNORMALITY,WO - 15.05.2008,F02C 7/00,,,
WO/2003/008768,METHOD FOR OPERATING A BURNER OF A GAS TURBINE AND A POWER PLANT,WO - 30.01.2003,F01K 23/06,,,
102287243,GAS AND STEAM TURBINE PLANT AND CORRESPONDING PROCESS,CN - 21.12.2011,F01K 23/06,,,
101158312,POWER GENERATION METHOD USING BIOMASS,CN - 09.04.2008,F02B 43/08,,,
102482996,利用生物原料的方法及设备,CN - 30.05.2012,F02C 1/04,,,
110121586,SYSTEMS AND METHODS FOR POWER PRODUCTION WITH INTEGRATED PRODUCTION OF HYDROGEN,CN - 13.08.2019,F01K 13/00,,,
WO/2004/111412,ELECTRIC POWER SUPPLY EQUIPMENT,WO - 23.12.2004,F02C 3/28,,,
105164386,气化发电设备的控制装置、气化发电设备以及气化发电设备的控制方法,CN - 16.12.2015,F02C 3/28,,,
WO/1997/021789,A GASIFIER AND A POWER PLANT,WO - 19.06.1997,C10J 3/54,,,
101802366,TURBINE FACILITY AND POWER GENERATING APPARATUS,CN - 11.08.2010,F02C 3/34,,,
101743383,COMPOSITE-TYPE COAL GASIFICATION POWER PLANT FACILITY,CN - 16.06.2010,F01K 17/06,,,
101802140,POWER GENERATION PROCESS AND SYSTEM,CN - 11.08.2010,C10J 3/46,,,
103547873,IMPROVEMENTS IN INTEGRATED DRYING GASIFICATION,CN - 29.01.2014,F26B 3/10,,,
103421544,GASIFICATION AND GENERATION SYSTEM OF CARBON FUEL,CN - 04.12.2013,C10J 3/00,,,
WO/2007/017487,"METHOD FOR OPERATING A GAS TURBINE, AND GAS TURBINE FOR CARRYING OUT THE METHOD",WO - 15.02.2007,F25J 3/04,,,
WO/2011/020768,METHOD AND DEVICE FOR CONVERTING THERMAL ENERGY FROM BIOMASS INTO MECHANICAL WORK,WO - 24.02.2011,F02C 3/28,,,
101932678,"FUEL GAS PURIFICATION APPARATUS, POWER GENERATION SYSTEM, AND FUEL SYNTHESIS SYSTEM",CN - 29.12.2010,C10K 1/00,,,
WO/2010/072337,PROCESS FOR UTILIZING THE SYTHESIS GAS ORIGINATING FROM A GASIFIER,WO - 01.07.2010,F01K 23/06,,,
102762697,"THERMAL-CHEMICAL UTILIZATION OF CARBON-CONTAINING MATERIALS, IN PARTICULAR FOR THE EMISSION-FREE GENERATION OF ENERGY",CN - 31.10.2012,C10J 3/66,,,
WO/2018/087694,SYSTEMS AND METHODS FOR POWER PRODUCTION WITH INTEGRATED PRODUCTION OF HYDROGEN,WO - 17.05.2018,F01K 13/00,,,
WO/2009/041617,TURBINE FACILITY AND POWER GENERATING APPARATUS,WO - 02.04.2009,F02C 3/34,,,
WO/2011/020767,METHOD AND DEVICE FOR UTILIZING BIOMASS,WO - 24.02.2011,F02C 1/04,,,
104074609,POWER PLANT AND METHOD FOR GENERATING ELECTRICAL POWER,CN - 01.10.2014,F02C 6/00,,,
101251045,BIOMASS ENERGY CIRCULATION ELECTRIFICATION TECHNIQUE AS WELL AS GENERATING SYSTEM THEREOF,CN - 27.08.2008,F02B 43/10,,,
WO/1997/021917,A POWER PLANT,WO - 19.06.1997,F02C 3/20,,,
WO/2014/175404,"GASIFICATION POWER PLANT CONTROL DEVICE, GASIFICATION POWER PLANT, AND GASIFICATION POWER PLANT CONTROL METHOD",WO - 30.10.2014,F02C 3/28,,,
104302574,INTEGRATED PROCESS FOR THE GASIFICATION OF WHOLE CRUDE OIL IN A MEMBRANE WALL GASIFIER AND POWER GENERATION,CN - 21.01.2015,C01B 3/36,,,
WO/2001/016471,METHOD AND DEVICE FOR INCREASING THE PRESSURE OF A GAS,WO - 08.03.2001,F02C 3/20,,,
102518516,压缩空气蓄能-煤气化发电一体化系统及集成发电方法,CN - 27.06.2012,F02C 6/00,,,
101316650,METHODS AND APPARATUS FOR HYDROGEN GAS PRODUCTION,CN - 03.12.2008,B01J 8/02,,,
103827617,PRODUCTION OF SYNTHESIS GAS FROM SOLVENT DEASPHALTING PROCESS BOTTOMS IN A MEMBRANE WALL GASIFICATION REACTOR,CN - 28.05.2014,F27B 7/36,,,
109416177,"FURNACE WALL, GASIFICATION FURNACE EQUIPMENT AND GASIFICATION COMBINED POWER GENERATION EQUIPMENT, AND METHOD FOR MANUFACTURING FURNACE WALL",CN - 01.03.2019,F23M 5/08,,,
109072784,"CONTROL DEVICE AND CONTROL METHOD FOR INTEGRATED GASIFICATION COMBINED CYCLE POWER GENERATION PLANT, AND INTEGRATED GASIFICATION COMBINED CYCLE POWER GENERATION PLANT",CN - 21.12.2018,F02C 9/28,,,
WO/2009/098936,"FUEL GAS PURIFICATION APPARATUS, POWER GENERATION SYSTEM, AND FUEL SYNTHESIS SYSTEM",WO - 13.08.2009,C10K 1/00,,,
WO/2009/015430,POWER GENERATION PROCESS AND SYSTEM,WO - 05.02.2009,C10J 3/46,,,
111741913,"POWDER SUPPLY HOPPER PRESSURIZATION DEVICE, GASIFICATION FURNACE FACILITY, GASIFICATION COMBINED POWER GENERATION FACILITY, AND CONTROL METHOD FOR POWDER SUPPLY HOPPER PRESSURIZATION DEVICE",CN - 02.10.2020,B65G 53/66,,,
1863738,METHOD AND APPARATUS FOR TREATING ORGANIC MATTER,CN - 15.11.2006,C02F 11/00,,,
106662013,INTEGRATED GASIFICATION COMBINED CYCLE POWER GENERATION FACILITY AND METHOD FOR OPERATING INTEGRATED GASIFICATION COMBINED CYCLE POWER GENERATION FACILITY,CN - 10.05.2017,F02C 3/28,,,
WO/1997/021912,A POWER PLANT,WO - 19.06.1997,F02C 3/20,,,
102606310,CO2 NEAR ZERO EMISSION MEDIUM-LOW TEMPERATURE SOLAR HEAT ENERGY AND FOSSIL ENERGY COMPLEMENTARY SYSTEM AND FLOW,CN - 25.07.2012,F02C 6/18,,,
WO/2002/046332,PROCESS AND GAS GENERATOR FOR GENERATING FUEL GAS,WO - 13.06.2002,C10B 49/06,,,
WO/2007/126416,METHODS AND APPARATUS FOR HYDROGEN GAS PRODUCTION,WO - 08.11.2007,B01J 8/02,,,
WO/2000/053907,METHOD OF OPERATION OF A GAS TURBINE ENGINE POWER PLANT AND A GAS TURBINE ENGINE POWER PLANT,WO - 14.09.2000,F02C 3/067,,,
WO/2017/188052,"CONTROL DEVICE AND CONTROL METHOD FOR INTEGRATED GASIFICATION COMBINED CYCLE POWER GENERATION PLANT, AND INTEGRATED GASIFICATION COMBINED CYCLE POWER GENERATION PLANT",WO - 02.11.2017,F02C 9/28,,,
102032048,CARBON CAPTURE COOLING SYSTEM AND METHOD,CN - 27.04.2011,F02C 7/18,,,
WO/2011/061299,"THERMAL-CHEMICAL UTILIZATION OF CARBON-CONTAINING MATERIALS, IN PARTICULAR FOR THE EMISSION-FREE GENERATION OF ENERGY",WO - 26.05.2011,C10J 3/66,,,
WO/2018/070394,"FURNACE WALL, GASIFICATION FURNACE EQUIPMENT AND GASIFICATION COMBINED POWER GENERATION EQUIPMENT, AND METHOD FOR MANUFACTURING FURNACE WALL",WO - 19.04.2018,F23M 5/08,,,
108602072,"SLAG CYCLONE, GASIFICATION FACILITY, GASIFICATION COMPOUND POWER GENERATING FACILITY, METHOD FOR OPERATING SLAG CYCLONE, AND METHOD FOR MAINTAINING SLAG CYCLONE",CN - 28.09.2018,B04C 5/185,,,
112814807,PHASE CHANGE TYPE PARAFFIN-CONTAINING FUEL RAMJET ENGINE,CN - 18.05.2021,F02K 7/10,,,
WO/2019/163664,"POWDER SUPPLY HOPPER PRESSURIZATION DEVICE, GASIFICATION FURNACE FACILITY, GASIFICATION COMBINED POWER GENERATION FACILITY, AND CONTROL METHOD FOR POWDER SUPPLY HOPPER PRESSURIZATION DEVICE",WO - 29.08.2019,B65G 53/66,,,
101563533,COMBUSTOR NOZZLE FOR A FUEL-FLEXIBLE COMBUSTION SYSTEM,CN - 21.10.2009,F02C 3/28,,,
109372636,ZERO-CARBON EMISSION THREE-CYCLE INTEGRAL COAL GASIFICATION FUEL CELL ELECTRICITY GENERATION SYSTEM AND METHOD,CN - 22.02.2019,F02C 3/28,,,
210087420,BIOMASS GASIFICATION ORGANIC RANKINE CYCLE SYSTEM,CN - 18.02.2020,F01K 23/00,,,
110259534,BIOMASS GASIFICATION ORGANIC RANKINE CYCLE SYSTEM,CN - 20.09.2019,F01K 23/00,,,
WO/2009/069443,COMPOSITE-TYPE COAL GASIFICATION POWER PLANT FACILITY,WO - 04.06.2009,F01K 17/06,,,
208982172,ZERO-CARBON-EMISSION THREE-CYCLE INTEGRATED COAL GASIFICATION FUEL CELL POWER GENERATION SYSTEM,CN - 14.06.2019,F02C 3/28,,,
WO/2017/138461,"SLAG CYCLONE, GASIFICATION FACILITY, GASIFICATION COMPOUND POWER GENERATING FACILITY, METHOD FOR OPERATING SLAG CYCLONE, AND METHOD FOR MAINTAINING SLAG CYCLONE",WO - 17.08.2017,B04C 5/185,,,
WO/1995/011375,PERFORMANCE ENHANCED GAS TURBINE POWERPLANTS,WO - 27.04.1995,F01D 1/00,,,
WO/2008/057685,COMBUSTOR NOZZLE FOR A FUEL-FLEXIBLE COMBUSTION SYSTEM,WO - 15.05.2008,F02C 3/28,,,
WO/2000/003126,"PROCESS FOR GENERATING ELECTRIC ENERGY, STEAM AND CARBON DIOXIDE FROM HYDROCARBON FEEDSTOCK",WO - 20.01.2000,C01B 3/02,,,
102322352,涡轮发电机利用煤燃气发电的方法及专用煤燃气发生装置,CN - 18.01.2012,F02C 3/28,,,
104895675,可全天连续运行的太阳能与生物质互补联合循环发电系统,CN - 04.01.2017,F02C 6/00,,,
104428257,WASTEWATER TREATMENT SYSTEM AND COMBINED POWER GENERATION EQUIPMENT,CN - 18.03.2015,C02F 1/00,,,
WO/2010/093512,SYSTEM AND METHOD FOR OPERATING POWER GENERATION SYSTEMS,WO - 19.08.2010,C10J 3/72,,,
216665760,GAS TURBINE-ORC COMBINED CYCLE AND INLET AIR COOLING POWER GENERATION SYSTEM AND DEVICE,CN - 03.06.2022,F02C 6/00,,,
WO/1996/024441,"TUNABLE, SELF-POWERED INTEGRATED ARC PLASMA-MELTER VITRIFICATION SYSTEM FOR WASTE TREATMENT AND RESOURCE RECOVERY",WO - 15.08.1996,A62D 3/00,,,
